model,accuracy,noise_0.01,noise_0.02,noise_0.03,noise_0.04,noise_0.05,sigma_0.10,sigma_0.50,sigma_1.00,sigma_2.00
mlp,0.649375,0.5490196078431373,0.4736394557823129,0.4247714048212801,0.4182572614107884,0.3909853249475891,1.0,0.68125,0.4925,0.36875
rf,0.6384375,0.5629084967320261,0.483843537414966,0.4505403158769742,0.4423236514522821,0.4150943396226415,1.0,0.675,0.48375,0.34625
cnn,0.64875,,,,,,1.0,0.68625,0.50625,0.365
