time_point_1,time_point_2,time_point_3,time_point_4,time_point_5,time_point_6,time_point_7,time_point_8,time_point_9,time_point_10,time_point_11,mu,sigma,theta,dt,T
1.8051079605008935,1.426015644581214,1.506874137160608,1.603686693391476,1.7055348260276684,1.5161292075243686,1.2824862290980217,1.330299616295176,1.341987721179578,1.1027929772136236,1.1236400341894577,1.5,0.5,1.0,0.1,1.0
1.5657525096862532,1.1862325455973493,1.4003338579233988,1.383629392146247,1.3946139003293123,1.2200674797126074,1.3323610684182527,1.301132650902434,1.2491910334855003,1.052638705899743,1.2235291652054658,1.5,0.5,1.0,0.1,1.0
1.9763117939219133,1.890200743535413,1.6640732240946678,1.7192611577878152,1.5684497077840087,1.947601255372554,2.065062024582653,1.8664875195191264,1.4276579755847685,1.5212144621315953,1.565700225949055,1.5,0.5,1.0,0.1,1.0
1.2242144916152022,1.0171461621500126,1.130132749712105,1.166100048223522,1.2541701626065078,1.1334948845600767,1.4029892303325024,1.4272788724722432,1.169995861062736,0.9222461820630684,0.9345382746723786,1.5,0.5,1.0,0.1,1.0
2.127076468540226,1.9521923650592592,1.9154424795516616,2.144782321402054,1.7413345844029031,1.6266957155239563,1.408126298485747,1.4252992120286592,1.3853128232326697,1.4175876047958291,1.4310033130022326,1.5,0.5,1.0,0.1,1.0
0.6902195647287498,0.7330359909191606,0.7202283201681157,1.070536759072297,1.0570311128438052,1.1412024961057452,1.09447747546692,1.1724646170436293,1.0383372802092143,0.9760945412902144,1.1563824247071857,1.5,0.5,1.0,0.1,1.0
2.1284831422855888,1.9810849327684887,1.8103772706226848,1.715773228168262,1.534163073117397,1.8117492851017745,1.722684463302746,1.724513518610132,1.782081253085552,1.697334941494464,1.2995084350855346,1.5,0.5,1.0,0.1,1.0
1.28689704002933,1.5042939948405556,1.5793337226706603,1.4415892046097485,1.2616641344166706,1.2199751956399538,0.9562933052814194,1.075964544827643,1.1849979354715612,1.3982141609169516,1.284530609256452,1.5,0.5,1.0,0.1,1.0
1.183077483910834,1.232766730328268,1.008447236023448,1.259224690384237,1.3056184998641849,1.5612162264273426,1.5409428254634627,1.6441873192722327,1.338389149583492,1.2331389215112352,1.560445983093762,1.5,0.5,1.0,0.1,1.0
1.3140847410259324,1.631473077176662,1.7881010367707604,1.6004080185084764,1.9691741980806865,2.036702761960442,2.175233019814119,2.0783579037454927,2.0543001462441692,1.9699752059211464,1.863872278526146,1.5,0.5,1.0,0.1,1.0
1.4681575027377576,1.2448900789759694,1.1710598622912214,0.8525628913794403,1.0543199372623782,1.086635917831848,1.02055155783231,1.1691020508837031,1.205855781433949,1.1785048000121645,1.1431265617071762,1.5,0.5,1.0,0.1,1.0
1.2263336461129684,1.308420099473176,1.3096375137576124,1.2693263256391172,1.2983896750356276,1.3474596794991716,1.526385333332705,1.5779623932429048,1.9682797863326265,1.7704849172977646,1.5142603763104898,1.5,0.5,1.0,0.1,1.0
